250	0
260	0
270	681
280	781
290	775
300	776
310	833
320	866
330	901
340	894
350	895
360	862
370	934
380	918
390	936
400	948
410	929
420	897
430	926
440	948
450	950
460	873
470	899
480	974
490	933
500	936
510	954
520	950
530	948
540	988
550	976
560	941
570	950
580	959
590	950
600	934
610	944
620	933
630	934
640	985
650	961
660	962
670	989
680	943
690	903
700	913
710	919
720	976
730	956
740	964
750	945
760	961
770	929
780	919
790	970
800	961
810	993
820	917
830	954
840	1025
850	1010
860	1033
870	1087
880	1505
890	1538
900	1595
910	1891
920	2222
930	2873

